Tax year,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Number of partnerships,1073094.00,NaN,NaN,1234157.00,NaN,1379654.00,1460502.00,1514212.00,1541539.00,1643581.00,1713603.00,1702952.00,1648032.00,1654245.00,1635164.00,1553529.00,1515345.00,1484752.00,1467567.00,1493963.00,1580900.00,1654256.00,1758627.00,1855348.00,1936919.00,2057500.00,2132117.00,2242169.00,2375375.00,2546877.00,2763625.00,2947116.00,3096334.00,3146006.00,3168728.00,3248481.00,3285177.00,3388561.00,3460699.00,3611255.00,3715187.00,3763117.00,3905335.00,4010200.00,3821470.00,4280690.00,4467584.00,4500186
   Number of partners,NaN,NaN,NaN,6121455.00,NaN,8419899.00,12225123.00,9764667.00,10589338.00,12426721.00,13244824.00,15228530.00,16963258.00,17291178.00,18431918.00,17094966.00,15801047.00,15734691.00,15626848.00,14989505.00,15605686.00,15662298.00,16183715.00,15663372.00,15924404.00,13659967.00,14231604.00,14328108.00,14108458.00,15556553.00,16211908.00,16727803.00,18515694.00,19300250.00,21141979.00,22428047.00,24389807.00,25333616.00,27491241.00,27714478.00,27093015.00,28163819.00,27500929.00,27448391.00,25269018.00,28246795.00,30624451.00,28797574
Partnerships reporting balance sheet data:,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
   Number of partnerships,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,975330.00,976967.00,987504.00,1053139.00,1129580.00,1211006.00,1303970.00,1392405.00,1504978.00,1591450.00,1682072.00,1768302.00,1890134.00,2195814.00,2195814.00,2342664.00,2372838.00,2378615.00,2413306.00,2474044.00,2540028.00,2551456.00,2743876.00,2771012.00,2842119.00,2961807.00,3021683.00,2910458.00,3220547.00,3413850.00,3431910
   Number of partners,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13492850.00,13117383.00,12670748.00,13309111.00,13033369.00,13080094.00,12647463.00,11868041.00,10997133.00,11980809.00,11912262.00,11788129.00,12989001.00,14206709.00,14206709.00,15882790.00,16654321.00,18397525.00,19866051.00,21779003.00,22747559.00,24307025.00,23965867.00,23875553.00,25146808.00,24060789.00,24014222.00,21710460.00,24981177.00,27107788.00,25376338
Total assets,NaN,NaN,NaN,353696180.00,NaN,597503923.00,715232726.00,845281449.00,886992767.00,1030848519.00,1269434302.00,1403750213.00,1381296736.00,1580194209.00,1791027273.00,1685223450.00,1816567895.00,1907344453.00,2118268141.00,2295212222.00,2718647742.00,3368165845.00,4171498832.00,5126548007.00,5998952883.00,6694142838.00,8428217379.00,8866560101.00,9675052728.00,11607698140.00,13734256305.00,17146275372.00,20386133966.00,19259803843.00,18798108367.00,19820206570.00,20574459139.00,22014928866.00,24163126120.00,26128933308.00,27366266830.00,28950043266.00,32403619868.00,34348006740.00,36048324019.00,43182900507.00,50832008026.00,52530130780
      Cash,NaN,NaN,NaN,13884746.00,NaN,20372610.00,21039753.00,23347081.00,NaN,NaN,NaN,NaN,NaN,59815618.00,62785635.00,61612527.00,63382784.00,67798312.00,79601201.00,89468559.00,96230699.00,124321426.00,149169560.00,181853173.00,217624508.00,262730114.00,341943005.00,403493682.00,412617128.00,498678562.00,723469011.00,723469011.00,912437146.00,1123130066.00,968070198.00,1020462381.00,1136045788.00,1066981227.00,1166969742.00,1249156699.00,1284945654.00,1329101516.00,1400907077.00,1454101690.00,1399057722.00,1911042623.00,2285086251.00,2254617631
      Notes and accounts recievable,NaN,NaN,NaN,25299171.00,NaN,40360541.00,36362860.00,38254789.00,NaN,NaN,NaN,NaN,NaN,71326331.00,77224078.00,82481044.00,84807814.00,98327332.00,112166670.00,132697118.00,160689273.00,217826767.00,269234797.00,342827502.00,392065104.00,432129579.00,543298800.00,534791029.00,523616923.00,613117125.00,848375657.00,848375657.00,837186359.00,918064190.00,674500280.00,811630309.00,706205640.00,810689885.00,777826685.00,768151318.00,784715852.00,853409501.00,939568764.00,966687944.00,888406567.00,1112957979.00,1219033262.00,1337234157
             Less: Allowance for bad debts,NaN,NaN,NaN,232454.00,NaN,262071.00,354839.00,412656.00,NaN,NaN,NaN,NaN,NaN,1138288.00,1315991.00,1564754.00,1640205.00,2019847.00,2345802.00,2725168.00,3323099.00,3790817.00,5411782.00,6147687.00,7476510.00,9488129.00,11980083.00,12667511.00,11984877.00,12313591.00,17091120.00,17091120.00,17419682.00,22240072.00,22654804.00,29978138.00,19595995.00,27584783.00,19825973.00,21281732.00,25564542.00,28858693.00,42967760.00,28941621.00,31625964.00,38107724.00,42620429.00,41472424
      Inventories,NaN,NaN,NaN,17202990.00,NaN,33218272.00,59649950.00,100728688.00,NaN,NaN,NaN,NaN,NaN,51151852.00,59442619.00,56507062.00,56845071.00,61865690.00,71278725.00,76305276.00,88050194.00,136707577.00,147387132.00,175963423.00,174078288.00,149875359.00,208165141.00,202669386.00,213605408.00,275807149.00,445560371.00,445560371.00,338632126.00,430585792.00,277271147.00,277105259.00,285098559.00,304131610.00,313310248.00,330745639.00,343441047.00,367003652.00,378005853.00,411089286.00,391412768.00,438065984.00,462734368.00,521143032
      U.S. Government obligations,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42603739.00,45380384.00,37638620.00,58152390.00,45119043.00,56441878.00,83417691.00,95751535.00,79242006.00,72847344.00,156329646.00,114419244.00,52257269.00,74315976.00,69840992.00,69840992.00,77865699.00,118037343.00,146948194.00,130252653.00,163157351.00,193755714.00,176195295.00,174879883.00,138258559.00,151887462.00,137978265.00,132135358.00,96606532.00,119581776.00,144473836.00,88426623
      Federal and State Government Obligations,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13667028.00,15746202.00,22245841.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
      Tax-exempt securities,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1976970.00,3704222.00,5228622.00,6501462.00,18721433.00,19627977.00,19983375.00,21061451.00,23306980.00,28122641.00,23148356.00,26282710.00,33497189.00,47407748.00,46846731.00,54270177.00,45092979.00,45092979.00,52863110.00,88748103.00,51105878.00,36599391.00,46928950.00,56401083.00,48250857.00,45364519.00,36788951.00,44752510.00,42341813.00,41510810.00,33657657.00,42715378.00,39480530.00,25848577
Government obligations: ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42783670.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
